id,host_id,booking_id,name,neighbourhood_group,city,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,number_of_reviews,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
158953,205412,1874,Cottage in West Seattle ~ Main BR,West Seattle,Seattle,WA,98126,47.55766967,-122.3790098,House,Private room,4,1,1,1,Real Bed,f,strict,f,f,2,2011-07-28,2011-09-17,96,9,10,10,10,9,9,0.04
170273,804996,3215,Historic House at Seattle Center,Queen Anne,Seattle,WA,98119,47.62767352,-122.3586108,House,Private room,2,1,1,1,Real Bed,f,strict,f,t,120,2011-07-25,2015-10-18,99,10,10,10,10,10,10,2.22
208356,1025723,1448,contemporary art loft downtown [7],Downtown,Seattle,WA,98104,47.59908075,-122.3255913,Loft,Private room,2,1.5,1,1,Real Bed,f,strict,t,t,474,2011-09-05,2015-12-24,95,10,10,10,10,9,9,8.98
240920,946910,415,Quiet Greenlake house w/ balcony,Other neighborhoods,Seattle,WA,98103,47.668176,-122.3373708,House,Private room,3,1,1,2,Real Bed,f,strict,f,f,15,2012-08-01,2015-08-01,97,10,9,10,10,10,10,0.36
265901,862329,2124,Great 1 Queen Bed Near Downtown SEA,Beacon Hill,Seattle,WA,98144,47.57625195,-122.3036759,House,Private room,2,1,1,1,Real Bed,f,strict,t,t,15,2012-02-06,2014-06-19,98,10,10,10,10,9,10,0.31
278192,862329,2079,1 BdRm BunkBed for 3 Near Downtown,Beacon Hill,Seattle,WA,98144,47.57741482,-122.3022996,House,Private room,3,1,1,3,Real Bed,f,strict,t,t,14,2012-03-20,2014-07-22,95,9,8,10,10,8,9,0.3
279063,1382925,2691,"Central Guest Room, Stunning View",Capitol Hill,Seattle,WA,98102,47.62465019,-122.3168894,Apartment,Private room,2,1,1,1,Real Bed,f,strict,f,f,294,2012-01-10,2016-01-01,91,9,9,9,10,10,9,6.06
356566,1224813,288,Sunny Bedroom w/View: Wallingford,Other neighborhoods,Seattle,WA,98103,47.65389856,-122.3380692,House,Private room,2,2,1,1,Real Bed,f,strict,f,f,13,2012-03-25,2014-02-23,100,10,10,10,10,10,10,0.28
365550,1025723,1442,contemporary art loft downtown [17],Downtown,Seattle,WA,98104,47.5990163,-122.3270799,Loft,Private room,2,1.5,1,1,Real Bed,f,strict,t,t,466,2012-03-24,2015-12-24,94,9,10,10,10,9,9,10.12
421168,2094547,2035,Greenwood Studio,Other neighborhoods,Seattle,WA,98103,47.69921615,-122.350716,Other,Private room,2,1,1,1,Real Bed,f,strict,f,f,209,2012-07-06,2015-12-18,96,10,10,10,10,9,10,4.91
