id,price,weekly_price,monthly_price,guests_included,extra_people,security_deposit,cleaning_fee,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365
3347,$87.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3348,$97.00 ,$600.00 ,"$2,150.00 ",1,$0.00 ,$250.00 ,$75.00 ,4,30,t,30,60,90,365
3349,$78.00 ,$500.00 ,,1,$10.00 ,,$15.00 ,1,1125,t,30,60,90,365
3350,$150.00 ,,,6,$30.00 ,$500.00 ,$120.00 ,3,29,t,23,53,82,102
3351,$95.00 ,$600.00 ,"$2,000.00 ",1,$20.00 ,$100.00 ,$40.00 ,1,1125,t,30,60,62,62
3352,$375.00 ,,,6,$15.00 ,"$1,500.00 ",$300.00 ,4,60,t,10,38,55,310
3353,$150.00 ,,,2,$20.00 ,$250.00 ,$75.00 ,4,1125,t,0,0,0,37
3354,$325.00 ,,"$3,500.00 ",4,$15.00 ,,$25.00 ,2,10,t,0,0,0,0
3355,$60.00 ,$350.00 ,"$1,050.00 ",1,$25.00 ,$150.00 ,$50.00 ,5,1125,t,30,60,90,365
3356,$50.00 ,$250.00 ,"$1,000.00 ",1,$10.00 ,$200.00 ,$10.00 ,1,21,t,19,49,79,354
3357,$120.00 ,,,1,$0.00 ,,,2,1125,t,30,60,90,365
3358,$88.00 ,$550.00 ,"$1,800.00 ",2,$15.00 ,$180.00 ,$45.00 ,1,1125,t,30,58,88,362
3359,$150.00 ,$980.00 ,,1,$0.00 ,,$45.00 ,2,18,t,1,2,31,31
3360,$195.00 ,,,1,$0.00 ,,$209.00 ,2,1125,t,0,0,0,216
3361,$50.00 ,,,2,$10.00 ,,$10.00 ,2,1125,t,0,0,0,58
3362,$250.00 ,,,0,$0.00 ,$300.00 ,$100.00 ,10,45,t,29,59,89,364
3363,$87.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3364,$207.00 ,,,1,$0.00 ,,,2,29,t,23,53,83,358
3365,$70.00 ,,,0,$0.00 ,$200.00 ,$50.00 ,1,1125,t,30,60,90,365
3366,$100.00 ,,,1,$0.00 ,,,1,1125,t,30,60,90,365
3367,$175.00 ,"$1,250.00 ","$4,500.00 ",1,$0.00 ,$500.00 ,$150.00 ,1,1125,t,18,48,78,342
3368,$165.00 ,,,2,$10.00 ,,$50.00 ,2,32,t,0,0,0,92
3369,$120.00 ,,,1,$0.00 ,$150.00 ,$80.00 ,3,30,t,29,57,84,359
3370,$239.00 ,,,1,$0.00 ,,$264.00 ,3,1125,t,28,32,62,331
3371,$200.00 ,,,4,$25.00 ,$400.00 ,$125.00 ,5,60,t,0,0,0,219
3372,$135.00 ,$949.00 ,,2,$25.00 ,$300.00 ,$50.00 ,2,27,t,14,30,60,149
3373,$155.00 ,,"$4,500.00 ",1,$0.00 ,$250.00 ,$95.00 ,2,365,t,30,60,90,365
3374,$95.00 ,,,1,$0.00 ,,$129.00 ,3,1125,t,30,60,90,365
3375,$78.00 ,,,2,$15.00 ,$150.00 ,$97.00 ,2,120,t,0,0,0,58
3376,$50.00 ,$300.00 ,"$1,050.00 ",1,$15.00 ,,$10.00 ,1,1125,t,3,33,63,338
3377,$90.00 ,$589.00 ,,2,$15.00 ,,$40.00 ,2,1125,t,19,49,79,79
3378,$151.00 ,$887.00 ,"$3,300.00 ",4,$0.00 ,$150.00 ,$40.00 ,2,1125,t,27,57,87,362
3379,$75.00 ,$500.00 ,,1,$0.00 ,$100.00 ,$25.00 ,2,29,t,23,53,83,358
3380,$160.00 ,,,1,$0.00 ,,$179.00 ,3,1125,t,30,60,90,365
3381,$189.00 ,,"$4,000.00 ",1,$0.00 ,,$100.00 ,2,1125,t,30,60,90,365
3382,$85.00 ,$550.00 ,"$2,200.00 ",1,$0.00 ,$250.00 ,$60.00 ,1,1125,t,9,32,57,332
3383,$112.00 ,$699.00 ,"$2,150.00 ",1,$0.00 ,$200.00 ,$100.00 ,7,90,t,0,9,16,18
3384,$400.00 ,"$1,800.00 ","$2,800.00 ",1,$0.00 ,,,4,180,t,29,59,89,364
3385,$175.00 ,,,1,$0.00 ,,$209.00 ,3,1125,t,19,49,79,226
3386,$100.00 ,$600.00 ,"$2,000.00 ",2,$10.00 ,$300.00 ,$75.00 ,2,1125,t,19,42,72,347
3387,$350.00 ,,,1,$0.00 ,,,2,6,t,0,0,0,39
3388,$150.00 ,$400.00 ,,2,$15.00 ,$125.00 ,,1,1125,t,30,60,89,89
3389,$55.00 ,$305.00 ,,2,$15.00 ,$100.00 ,$20.00 ,2,7,t,25,51,81,170
3390,$95.00 ,,,1,$0.00 ,$300.00 ,$30.00 ,3,1125,t,14,28,47,298
3391,$80.00 ,,,1,$0.00 ,,,2,9,t,30,60,89,89
3392,$50.00 ,,,2,$10.00 ,,$15.00 ,1,1125,t,27,57,87,362
3393,$95.00 ,,,4,$15.00 ,,$60.00 ,1,1125,t,30,60,89,89
3394,$175.00 ,"$1,000.00 ",,1,$0.00 ,$500.00 ,$60.00 ,3,24,t,0,0,0,0
3395,$50.00 ,,,1,$10.00 ,,$10.00 ,2,1125,t,18,45,74,74
3396,$190.00 ,"$1,200.00 ","$4,200.00 ",8,$0.00 ,$500.00 ,$125.00 ,3,90,t,30,60,90,365
3397,$99.00 ,$625.00 ,"$1,533.00 ",1,$0.00 ,$95.00 ,$55.00 ,7,30,t,11,22,33,112
3398,$145.00 ,$950.00 ,"$3,500.00 ",2,$15.00 ,$300.00 ,$60.00 ,1,1125,t,15,45,75,347
3399,$90.00 ,$600.00 ,,1,$0.00 ,,,2,1125,t,30,60,90,365
3400,$349.00 ,"$1,950.00 ",,6,$50.00 ,$500.00 ,$175.00 ,1,1125,t,0,11,21,27
3401,$150.00 ,,,1,$0.00 ,,,2,1125,t,0,0,0,247
3402,$105.00 ,,,4,$10.00 ,,$80.00 ,2,4,t,12,31,60,60
